,user,time,text,likes,comments,repost,share,url
268,j.yeon_0604,2024-11-04,네 고마워요..ㅠㅠ,,,,,https://www.threads.net/@j.yeon_0604/post/DB8fXSpvwuD
269,goochansik,2024-11-04,힘내세요 전 관상쟁이가 직업인데 도움 필요 하면 얘기해주세요11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DB6td-4zTPO
270,j.yeon_0604,2024-11-04,네 감사해요,,,,,https://www.threads.net/@j.yeon_0604/post/DB6td-4zTPO
271,kkobugi48,2024-11-04,잘 버텼어 버텨줘서 정말 고마워11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DB6td-4zTPO
272,jiyumin0618,2024-11-04,울고 또울고싶거든그땐울지마1,,1.0,,,https://www.threads.net/@j.yeon_0604/post/DB6td-4zTPO
273,j.yeon_0604,2024-11-04,그게 제 마음대로 안돼는걸요..ㅜ,,,,,https://www.threads.net/@j.yeon_0604/post/DB6td-4zTPO
274,dj_highway_remix,2024-11-04,걱정하는것보다 주변 사람들은 다른 사람들을 그렇게 크게 신경쓰지를 않아혼자서 걱정 인형 돼가지고 누죽 들어 있을 필요없어11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DB6td-4zTPO
275,j.yeon_0604,2024-11-04,"네 그렇죠.. ㅜ 감사합니다.
힘 낼때까지 최대한 내다가 갈게요1",1.0,,,,https://www.threads.net/@j.yeon_0604/post/DB6td-4zTPO
276,yukyungk8455,2024-11-04,애착인형많나요 아이들이 인형처럼 예뻐걱정이라우1,1.0,,,,https://www.threads.net/@j.yeon_0604/post/DB6td-4zTPO
277,jangoehyi4,2024-11-04,",남은나에게 별로 관심을 갖지않는다. 내가 괜히 남을의식할뿐. 다 내탓이다. 나는 지금 동네한바퀴돌고 왔다. 그래도 우리동네는 빵집 커피집이 새로 생겼네. 커피집앞에. 처음오는손님 커피 100원 적어놨네. 좋은 방법이다. 들어오면. 빵도먹고 그러겠지1",,1.0,,,https://www.threads.net/@j.yeon_0604/post/DB6td-4zTPO
278,jangoehyi4,2024-11-04,기도하자 기도만이 답이다. 편안해질때까지 누구도 나를 어찌못한다 내가 주인공이다 하면 된다 一 111,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DB6td-4zTPO
279,j.yeon_0604,2024-11-04,저 무교인대여..11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DB6td-4zTPO
280,jangoehyi4,2024-11-04,무교좋지. 신을 한번 믿어봐 혼자는 힘들어무교좋지. 신을 한번 믿어봐 혼자는 힘들어0%··0%0표 · 설문 종료됨1,,1.0,,,https://www.threads.net/@j.yeon_0604/post/DB6td-4zTPO
281,j.yeon_0604,2024-11-04,안믿어여..,,,,,https://www.threads.net/@j.yeon_0604/post/DB6td-4zTPO
282,parkpungsung,2024-10-29,오늘만사는것이사람이다1,1.0,,,,https://www.threads.net/@j.yeon_0604/post/DBs_5m4PXpn
283,kinambaek,2024-10-29,힘내라 화이팅11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBrZKsIzl8R
284,j.yeon_0604,2024-10-29,네 감사합니다..! 😁,,,,,https://www.threads.net/@j.yeon_0604/post/DBrZKsIzl8R
285,grimchoikpro,2024-10-27,그렇게 훅치고 들어올 때 환장하지..11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBoUZoAP6Wy
286,j.yeon_0604,2024-10-28,"아직까지도 그래..
잠우누잘잤고, 약도 잘 챙겨먹었어
오늘 너무 힘들어서 오후 수업 시작 전에 보건소 쌤이랑 전화도 했어
진짜 공부에 집중도 하나도 안되고 미쳐..😂11",1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBoUZoAP6Wy
287,grimchoikpro,2024-10-28,우떡한댜1,,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBoUZoAP6Wy
288,j.yeon_0604,2024-10-28,글겡.. 머리가 너무 아파..11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBoUZoAP6Wy
289,grimchoikpro,2024-10-28,약을 먹어봐1,,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBoUZoAP6Wy
290,k_cyber1388,2024-10-28,"우울할 때 무기력해지고 부정적인 생각이 든다고 해요. 위로가 되었던 것들, 좋아하는 것들을 떠올리며 힘든 시간을 극복해나갈 수 있기를 바래요. 자신을 격려해나간다면 어제보다는 좀 더 나은 오늘을 보낼 수 있을 거라 생각해요. 응원합니다!21",2.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBoUZoAP6Wy
291,j.yeon_0604,2024-10-28,감사합니다! ㅎㅎ,,,,,https://www.threads.net/@j.yeon_0604/post/DBoUZoAP6Wy
292,annie_happylife,2024-10-28,그래도 자보도록 하자구. 잠이 우울증엔 큰 역할을 한다니까 ㅠ11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBoUZoAP6Wy
293,j.yeon_0604,2024-10-28,다행히 잠은 잘 잤어요!근데 자고 일어났는데도 그러네용..ㅜ11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBoUZoAP6Wy
294,annie_happylife,2024-10-28,그 맘 알지 😭 일단 오늘 하루 나를 예뻐하고 몰아붙이지 말아보자. 칭찬도 해주구~~~11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBoUZoAP6Wy
295,j.yeon_0604,2024-10-28,"좋아요. 그렇게 해볼게요 ㅎㅎ
저 자신한테 칭찬하는 거 잘 못하는데 노략해볼게용..!11",1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBoUZoAP6Wy
296,annie_happylife,2024-10-28,할 수 있어여~~~ 무조건 해야해~~~11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBoUZoAP6Wy
297,purang2eunchan,2024-10-28,힘내 인생 뭐 별거있나11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBoUZoAP6Wy
298,j.yeon_0604,2024-10-28,"응원 감사해요..ㅎㅎ
힘 내야죠..ㅎㅎ1",1.0,,,,https://www.threads.net/@j.yeon_0604/post/DBoUZoAP6Wy
299,pictures_venti,2024-10-28,나도 좋았다 우울했다 그래 ㅠㅠㅠ1,,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBoUZoAP6Wy
300,j.yeon_0604,2024-10-28,ㅠㅠ 힘들지 기분 왔다갔다하면 ㅠ11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBoUZoAP6Wy
301,pictures_venti,2024-10-28,웅웅.. 내 맘이 내 맘이 아냐11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBoUZoAP6Wy
302,j.yeon_0604,2024-10-28,맞아.. ㅜ1,1.0,,,,https://www.threads.net/@j.yeon_0604/post/DBoUZoAP6Wy
303,sprengeri1226,2024-10-27,"로이킴 살아가는거야
최유리 어떤가요 
백예린 그건 아마 우리의 잘못은 아닐거야
빈지노 If I Die Tomorrow
프라이머리 독21",2.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBmRp4vTRBK
304,j.yeon_0604,2024-10-27,"듣는 중인데 좋네요, 노래 추천해줘서 감사해요😁11",1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBmRp4vTRBK
305,sprengeri1226,2024-10-27,마음에 드셨다니 기분이 좋네여ㅎㅎ 감사합니다11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBmRp4vTRBK
306,j.yeon_0604,2024-10-27,아니에요 ㅎㅎ 답글 달아주셔서 저도 감사해여😊1,1.0,,,,https://www.threads.net/@j.yeon_0604/post/DBmRp4vTRBK
307,happy_d315,2024-10-27,피아노 연주곡 어때 마음 좀 편하던데1,,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBmRp4vTRBK
308,j.yeon_0604,2024-10-27,한번 들어볼게. 오늘 괜찮더니 저녁되고 비도 오니 마음이 살짝 가라앉네. 연주곡 추천 고마워!1,1.0,,,,https://www.threads.net/@j.yeon_0604/post/DBmRp4vTRBK
309,ip___sea,2024-10-27,"시가렛애프터섹스-크라이 
차분하면서 멜로디가 나를 위로하는 기분이 들어서 추천할게! 
그리고 넌 소중한 존재야 그걸 잊지마😘
아무도 널 대신할수 없다구11",1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBmRp4vTRBK
310,j.yeon_0604,2024-10-27,"🥹고마워 ㅜㅜ
노래도 잘 들을겡!😄1",1.0,,,,https://www.threads.net/@j.yeon_0604/post/DBmRp4vTRBK
311,grimchoikpro,2024-10-24,"그런 계획은 필요음떠
나 병원 다음 차례야1",,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBf8C0bPMd3
312,j.yeon_0604,2024-10-24,"필요음떠..?ㅋㅋㅋㅋ ㅜㅜ
병원 잘 다녀왔어?
저녁되면 추우니까 옷 잘 챙겨입어11",1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBf8C0bPMd3
313,grimchoikpro,2024-10-24,ㅇㅇ 상담 꽤 길게1,,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBf8C0bPMd3
314,j.yeon_0604,2024-10-24,그렇구나 상담도 잟하구와!1,1.0,,,,https://www.threads.net/@j.yeon_0604/post/DBf8C0bPMd3
315,k_cyber1388,2024-10-24,"반가워요, 우울한 마음으로 인해 무엇을 하면 좋을지 고민이 되었군요, 어떠한 이유로 우울한 마음이 들었는지 주변 가족이나 친구들에게 이야기를 해보기도 하고, 내가 좋아하는 음악을 듣거나, 맛있는 음식을 먹거나, 가벼운 산책을 해보는것은 어떨까요? 우울한 마음을 따뜻하게 위로해줄 시간이 필요한것같아요. 이러한 방법들이 도움이 되기를 바래요, 응원할께요:)11",1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBfZcOBv4_q
316,j.yeon_0604,2024-10-24,감사합니다🥹😊 언제까지 이어질 우울일지 모르겠지만 잘 이겨내볼게요,,,,,https://www.threads.net/@j.yeon_0604/post/DBfZcOBv4_q
317,grimchoikpro,2024-10-24,"왜 우울해?
광합성하러 나가봐1",,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBfZcOBv4_q
318,j.yeon_0604,2024-10-24,"모르게써..그냥 거의 매일 그래..
기분도 우울하기만 한게 아니라 오락가락 해서 힘들어요.. ㅜ 오늘 좀 시험도 끝난김에 산책인나 하러 갔다올게욤!11",1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBfZcOBv4_q
319,grimchoikpro,2024-10-24,"큰일이당..
난 오늘 병원가는 날이야11",1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBfZcOBv4_q
320,j.yeon_0604,2024-10-24,잘 다녀와! 스치니는 오늘 기분 어때? 괜찮아?11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBfZcOBv4_q
321,grimchoikpro,2024-10-24,나는 약 잘 먹는 착한 으른이11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBfZcOBv4_q
322,ni_starisa,2024-10-24,"힘이 덜 생길 때도 있는거지!
너무 힘내는 것에 연연하지말고
천천히 페이스를 찾아가보자🤍11",1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBczerBPXZK
323,j.yeon_0604,2024-10-24,고마워요 ㅎㅎ 천천히..! 그때 제 마음이 너무 급했던 것 같아서(벼락치기 하는 중이었어서..지금도 하는 중이지만..ㅎㅎ) 더 힘 내서 조금이라도 더 보자는 마음가짐이었는데 이미 망한거..ㅎㅎ 천천히 제 페이스대로 가보는 것도 좋을 것 같네요 ㅎㅎ1,1.0,,,,https://www.threads.net/@j.yeon_0604/post/DBczerBPXZK
324,rays.of_mercy,2024-10-21,"👋🤗 hello  
번역하기11",1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBXkvd3SPwt
325,j.yeon_0604,2024-10-23,Hi!11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBXkvd3SPwt
326,rays.of_mercy,2024-10-23,Dm me in IG,,,,,https://www.threads.net/@j.yeon_0604/post/DBXkvd3SPwt
327,grimchoikpro,2024-10-20,"ㅜㅜ
스치니 병원은 갔을까?1",,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBWKpzNv6gB
328,j.yeon_0604,2024-10-20,"병원은 다니고 있는뎅.. 예약이 다음주로 되어있기도 하고, 너무 멀어서 갈 수가 없어요..ㅜ
약은 오늘 오늘 하루 꼬박 잘 창겨먹었어용..!11",1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBWKpzNv6gB
329,grimchoikpro,2024-10-20,"약 잘 챙겨먹고 충분히 자요.
물론 잠들기 힘들겠지만.
누군가에게 떠들어요. 계속
따뜻한 차 마시고.1",,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBWKpzNv6gB
330,j.yeon_0604,2024-10-20,"네 고맙습니당 ㅎㅎ. 
오늘도 잠 안오면 수면제 처방 받은거 있어서 그거 먹으려구요.. ㅎㅎ
고마워요..😊11",1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBWKpzNv6gB
331,grimchoikpro,2024-10-20,"수면제는 정량만. 알죠?
어여 자요.
시험 잘 보길바래요.11",1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBWKpzNv6gB
332,parkpungsung,2024-10-21,기도할께11,1.0,1.0,,,https://www.threads.net/@j.yeon_0604/post/DBWKpzNv6gB
333,j.yeon_0604,2024-10-21,감사해요 😺1,1.0,,,,https://www.threads.net/@j.yeon_0604/post/DBWKpzNv6gB
334,jyouthlee,2024-11-03,왜 그만두고 싶어?ㅠ1,,1.0,,,https://www.threads.net/@fall_1you/post/DB5nW4xvi-a
335,fall_1you,2024-11-03,"내 머릿속에서 좀 사라지게 하고 싶어
어쩌피 내 옆에 오래 못 있잖아 그리고 선이 있잖아
나만 맘먹고 놓으면 끝날 수 있는거니까
결말이 뻔히 보이는 관계를 시작해 버렸어
마음 먹었을 때 지금 꼭 잘라야 할 것 같아
상담에서 문제를 직면 해봤자 하나도 도움안돼
선생님은 날 모를거야 그리고 날 못 고칠거 같아11",1.0,1.0,,,https://www.threads.net/@fall_1you/post/DB5nW4xvi-a
336,jyouthlee,2024-11-03,"상담자는 무엇을 고쳐주고 해결해주는 사람이라기보다는, 나를 이해해주고 내 옆에서 함께 걸어가주는 사람인 것 같아. 나도 종종 ‘선생님은 어차피 저를 이해하지 못하잖아요’라는 말을 했었는데, 그 때마다 선생님은 이해하려고 노력은 할 거라고, 온전히 100퍼센트 고통을 이해하지는 못해도 일부는 이해한다고 대답하셨어. 결국 마음의 고통을 덜기 위해서는 나 자신을 온전히 들여다보고 감정을 수용하는 경험이 필요한데, 치료자는 그걸 좀 더 안전하게 할 수 있게 도와주는 역할을 하더라구. 상담자가 나를 놓아버릴 것 같을 때는, 그런 감정이 들었다고 솔직하게 털어놓아보는 것도 좋은 것 같아! 그리고 분명 스친이 먼저 떠나기 전에 선생님이 놓지는 않을 거야. 물론 치료자-환자 사이의 관계적 거리감이 있지만, 그건 좀 더 안전하게 치료를 하기 위한 장치라고 생각해. 말이 좀 길었는데, 상담을 그만두지 말고 솔직한 마음을 치료자와 상의해볼 수 있으면 좋겠다!21",2.0,1.0,,,https://www.threads.net/@fall_1you/post/DB5nW4xvi-a
337,fall_1you,2024-11-03,"근데 말해도 지금의 현실이 안바뀌니까 
너무 힘든 것 같아
그냥 없었던 일로 해버리고 피하고 싶어
지금 당장의 고통이 커서 
이게 다 뭔 소용인가 싶어서..
그래도 스친이의 말을 들어보니 스친이 말이 다 맞는 거 같아.. 조언해줘서 고마워...!2",2.0,,,,https://www.threads.net/@fall_1you/post/DB5nW4xvi-a
338,woodngngngn,2024-10-18,아구 지금 봤다 ㅠㅠㅠㅠ꼬옥 안아주기…🥹🤍11,1.0,1.0,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
339,fall_1you,2024-10-18,스치나.. 난 너한테 해준게 없는데 고마워😭🩵ㅠㅠ1,1.0,,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
340,k_cyber1388,2024-10-18,"옆에 있다면 토닥토닥해드리고 싶고
어깨를 내어드리고 싶네요
무슨 일 있는건가요?
불안이라는 감정이 참 힘든거네요ㅠ
쉼호흡과 몸에 힘을 빼면서 몸과마음을 이완시켜나가면 어떨까요11",1.0,1.0,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
341,fall_1you,2024-10-18,제 마음 이해해주시고..감사합니다,,,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
342,orientalvisual21,2024-10-18,일단 왜 불안해? 똑같이 불안한 인간들끼리 뭉치면 불안함에 가속도 붙는건 알고 있쥐?11,1.0,1.0,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
343,fall_1you,2024-10-19,아 음.. 그건아니고 제 옆에 아무도 없어서 불안해욜..,,,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
344,mong_tarotcard,2024-10-18,"이리와.
컴온.31",3.0,1.0,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
345,fall_1you,2024-10-18,무심하게 말씀하셨지만 쏘 스윗ㅠ1,1.0,,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
346,onwoojoo0901,2024-10-18,괜찮아. 괜찮아. 잘하고 있고 점점 좋아질꺼야.11,1.0,1.0,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
347,fall_1you,2024-10-18,괜찮다는 말 정말 듣고싶었어요 ..감사합니다ㅠㅠ11,1.0,1.0,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
348,onwoojoo0901,2024-10-18,오늘은 날씨가 흐리지만 그 너머에 태양이 늘 있으니 오늘도 밝게 보내보아요!1,1.0,,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
349,txx_xh,2024-10-18,🫂51,5.0,1.0,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
350,fall_1you,2024-10-18,🥹🫶1,1.0,,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
351,venti.grande.0118,2024-10-18,"불안장애가 생기셨구나.... 아이고 으쩌다가 안아주거나 손을 꼭잡아주면 나아질거에요..
자 저의 손을 잡아보세요 소온~1",1.0,,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
352,foresic_psychologist,2024-10-18,스스로 안아줘도 불안해소돼.11,1.0,1.0,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
353,fall_1you,2024-10-18,그게 쉽지 않아서요..ㅠㅠ,,,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
354,mimilee032,2024-10-18,"안으면...포근해^^안아줄께요!
포근하게.
꽉~안아줄께요.
불안하지 않게!11",1.0,1.0,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
355,fall_1you,2024-10-18,제가 감히 아..안겨도 될까요 ㅠㅠ1,1.0,,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
356,parkpungsung,2024-10-18,손잡아 토닥토닥 쓰담쓰담 꼬옥11,1.0,1.0,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
357,fall_1you,2024-10-18,감사합니당..,,,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
358,ogseongbin6,2024-10-18,"노트를 꺼내서 불안을 적어요
적어진 내용을 내가 들을 수 있게 읽어
보고 스스로 해결이 가능한것과 누군가
의 도움이 필요한것으로 나눠요.
스스로 맞설수 있는 일과 그럴수 없는 일이 
구분 됐다면 저는 하나씩 방법을 찿아 뿌셔요
그럼 기분이 좀 나아져요11",1.0,1.0,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
359,fall_1you,2024-10-18,넵.. 좋은 방법 알려주셔서 감사합니다,,,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
360,mama_jaein,2024-10-18,괜찮아?11,1.0,1.0,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
361,fall_1you,2024-10-18,오락가락 하는데 괜찮아요🙂1,,1.0,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
362,mama_jaein,2024-10-19,"이쁜사람아 많이 힘들지 않고
행복하면 좋겠어!11",1.0,1.0,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
363,fall_1you,2024-10-19,감사합니다.. 저도 스친님이 행복하셨으면 좋겠어요11,1.0,1.0,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
364,mama_jaein,2024-10-19,힝 안아주고싶다11,1.0,1.0,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
365,holloh2,2024-10-18,(목은 꽉 끌어안되 주요 부위는 뒤로 뺀 댓글)1,1.0,,,,https://www.threads.net/@fall_1you/post/DBOsaXWPnYL
366,woodngngngn,2024-10-14,그래도 학교 가서 출석했잔아 !!! 칭찬해👍11,1.0,1.0,,,https://www.threads.net/@fall_1you/post/DBFtBx-PsaF
367,fall_1you,2024-10-14,흑ㅠㅠ 그런가?! 고마워🥹1,1.0,,,,https://www.threads.net/@fall_1you/post/DBFtBx-PsaF
368,love486hhh,2024-10-14,"어떤점이 많이 싫었을까?
난 지금 내자신이 내 마음을 몰라주고 있을때가 
너무슬프더라구 
내 글 을 읽고 하트를 준거면 너무 감사해
나는 나에게 하트 주시는 분들이 너무 소중하다고 생각하거든
그러니 지금은 추억이야 
추억을 만들수 있을때 많이 만들면 좋지만
너무 큰 방황은 빨리 접어둬1",1.0,,,,https://www.threads.net/@fall_1you/post/DBFtBx-PsaF
369,k_cyber1388,2024-10-14,"터널을 지나면 빛이 보이듯이 위로가 되었던 것들, 좋아하는 것들을 떠올리며 힘든 시간을 극복해나갈 수 있는 것 같아요. 스스로를 격려해나간다면 어제보다는 좀 더 나은 오늘을 보낼 수 있을 거라 생각해요. 응원합니다!11",1.0,1.0,,,https://www.threads.net/@fall_1you/post/DBEd_tPhXr0
370,fall_1you,2024-10-14,감사합니다..!!ㅠㅠ,,,,,https://www.threads.net/@fall_1you/post/DBEd_tPhXr0
371,sola_deo_glory,2024-10-18,잘 이겨내.누구나 겪는 일 ᆢ하지만 신앙으로 능히 극복되.,,,,,https://www.threads.net/@fall_1you/post/DBEd_tPhXr0
372,woodngngngn,2024-10-11,이젠 내가 옆에 있자나☺️11,1.0,1.0,,,https://www.threads.net/@fall_1you/post/DA-R9q3PqeN
373,fall_1you,2024-10-11,정말 힘 나는 말이다.. 옆에 있어줘서 고마워😭1,1.0,,,,https://www.threads.net/@fall_1you/post/DA-R9q3PqeN
374,today_5252,2024-10-09,"괜찮아요 다 괜찮을거예요:)
눈물이 나올 때는 그냥 마음 편히 울어도 돼요
괜찮아요4",4.0,,,,https://www.threads.net/@comfort._y/post/DA3hvtUzkqV
375,seoha2720,2024-10-09,"우리 예빈님에게 무슨일이 있었는지는 모르지만
예빈님,다 괜찮아요 괜찮아요 모든게 다 괜찮을거고,괜찮아요
항상 저의 밤을 빛내주는 예빈님,힘들때는 빛을 내기도 어려울 수 있어요
그 빛을 잠깐 내려놓아도 괜찮아요 울고 싶을때 울음이 터질때 울어도 괜찮아요 예빈님 마음에 있는 응어리가 녹아서 눈물로 나와 예빈님의 마음이 조금이라도 편해진다면 그걸로 된거예요☺️
오늘 하루도 고생많았구 수고하셨구 충분했어요 부디 오늘 밤에는 예빈님의 미음이 조금이라도 편해지셨음 좋겠어요:)
다 괜찮은거고 다 괜찮아요 제가 약속할게요
제가 많이 사랑해요,예빈님❤️3",3.0,,,,https://www.threads.net/@comfort._y/post/DA3hvtUzkqV
376,k_cyber1388,2024-10-09,"에고.. 마음이 많이 울적하 날인가 보아요.. 괜찮아요 다 지나갈 거예요.. 더 단단한 내가 되어 줄 거라 믿어요.. :) 울고 싶은 날은 엉엉 소리내어 울어보아도 좋겠어요, 감정이 정화되고 힘든 마음이 해소될 수 있답니다..! 오늘 하루도 너무 수고 많으셨어요",,,,,https://www.threads.net/@comfort._y/post/DA3hvtUzkqV
377,comfort_moon0814,2024-10-10,"괜찮아요:)
괜찮고,괜찮아요
그러니 부디 불안해하지 말아주세요
불안해하지말고 걱정하지도 마세요
괜찮을 거예요
편히 우세요
모두가 싫어하지 않을거거든요
비록 늦긴했어도 제 글이 조금의 안식이 되길바래요4",4.0,,,,https://www.threads.net/@comfort._y/post/DA3hvtUzkqV
378,comfort_coyo,2024-06-27,오모모 축하해요!8,8.0,,,,https://www.threads.net/@cherry_serang_s2/post/C8tMzFRS-US
379,maltese._.33,2024-06-27,헐헐! 그동안 정말 수고했어요!! 축하해용🌷3,3.0,,,,https://www.threads.net/@cherry_serang_s2/post/C8tMzFRS-US
380,noonsong02,2024-06-27,축하해요!! 그동안 고생 많았어요3,3.0,,,,https://www.threads.net/@cherry_serang_s2/post/C8tMzFRS-US
381,orange_fox814,2024-06-27,"허억 축하해요 체리님..!!!믿고 있었어요
제가 사랑하는 그대는 강하니까🫶31",3.0,1.0,,,https://www.threads.net/@cherry_serang_s2/post/C8tMzFRS-US
382,cherry_serang_s2,2024-06-27,감사해요 체리는 강하니까 부셔버리고 왔습니다!1,1.0,,,,https://www.threads.net/@cherry_serang_s2/post/C8tMzFRS-US
383,cherry_wmq,2024-06-28,와아아 축하드려요!! 멋지다 울 체리님!!❤️🌷👍👍4,4.0,,,,https://www.threads.net/@cherry_serang_s2/post/C8tMzFRS-US
384,today_5252,2024-06-25,"무슨 일이신진 모르겠지만,분명히 잘 될 거예요.
정말 다 괜찮을거예요.그러니까 너무 걱정하지마요:)
기적의 전제는 '절대로 안돼' 잖아요?
지금 당장 너무 막막하고,앞이 잘 보이지 않더라도 언젠가는 분명 기적에 닿을 수 있을 거예요.
앞으로 나아가는게 힘들면 쉬어도 돼요.푹 쉬었다가,다시 걸을 수 있을 만큼 회복이 되신다면,기꺼이 체리님의 길잡이 역할을 하는 별자리가 되어드릴게요😌4",4.0,,,,https://www.threads.net/@cherry_serang_s2/post/C8opaLbSiIK
385,cherry_suring,2024-06-25,"진짜..진짜 잘될거에요 우리 체리님 너무 잘해왔잖아요
아니라고 느껴질 테지만 우리 체리님은 정말 체리님 자리에서 빛을 내고 있어요 그러니 지금 그대로 예쁜 빛을 빚내주실래요? 오늘도 정말 정말 수고 많았어요 🫶🏻31",3.0,1.0,,,https://www.threads.net/@cherry_serang_s2/post/C8opaLbSiIK
386,cherry_serang_s2,2024-06-25,너무 감사해요♡ 열심히 제가 가진 찬란한 빛을 내볼게요!1,1.0,,,,https://www.threads.net/@cherry_serang_s2/post/C8opaLbSiIK
387,cherry_leaming65,2024-06-25,"잘 될 거예요. 다 잘 될 거예요. 정말로. 무슨 일인진 모르겠지만, 우리 체리님이라면 분명 멋지게 해낼 수 있을 거예요. 그게 설령 오래걸릴지라도. 분명히 잘 할 수 있을 거예요 :)21",2.0,1.0,,,https://www.threads.net/@cherry_serang_s2/post/C8opaLbSiIK
388,cherry_serang_s2,2024-06-25,아자아자! 그렇죠 해낼 수 있을거에요 감사해요♡,,,,,https://www.threads.net/@cherry_serang_s2/post/C8opaLbSiIK
389,noonsong02,2024-06-25,"당신의 내일이 오늘보다 더 따뜻하길
내일의 당신이 오늘보다 더 빛나기를31",3.0,1.0,,,https://www.threads.net/@cherry_serang_s2/post/C8opaLbSiIK
390,cherry_serang_s2,2024-06-25,너무 멋진 말이네요 저 말처럼 이루어지면 좋겠어요 너무 감사해요♡1,1.0,,,,https://www.threads.net/@cherry_serang_s2/post/C8opaLbSiIK
